"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-4.097393,3.691386,-114.357782791565,1.69283792931842e-05,0.0308781088689021,3.572433243467,"LEAP2"
-3.8798885,2.68417125,-69.6948438162222,5.48397255882277e-05,0.0358138788559249,3.09545356267527,"LRAT"
4.1321365,2.36425175,65.3177430023951,6.39657686853503e-05,0.0374339891212674,3.00632675324949,"CPPED1"
-4.5490315,7.08848975,-63.4929788543463,6.84147985915976e-05,0.0374339891212674,2.96523152090453,"APOBEC3F"
2.116876,5.8519345,60.3845400026949,7.70694391317902e-05,0.0396210588633353,2.88915855947593,"STBD1"
-3.2033155,21.31678375,-57.6058308699635,8.61847888685402e-05,0.0400878529482883,2.81393125342985,"TLK1"
-4.528547,3.6777695,-57.1829838647102,8.77047035737111e-05,0.0400878529482883,2.80182948436682,"PSMB9"
-3.3847165,3.85389325,-51.8254397016274,0.000110762805860469,0.0402365465542997,2.6314957746528,"PIK3CD"
-3.2446295,2.80734675,-51.074275958951,0.000114666789271157,0.0402365465542997,2.60483349974031,"TRIM17"
4.28823,16.1825355,50.675017770894,0.000116821788744901,0.0402365465542997,2.59035504830201,"KIF14"
4.9108595,7.63426425,47.6198111285658,0.000135391916176016,0.0415304445906581,2.47202468776893,"CHST3"
4.620095,5.268413,46.5539781187248,0.000142860995841717,0.0416148267030545,2.42737248958733,"FLRT3"
-2.7044975,4.04029675,-46.2708364283497,0.000144943446020801,0.0416148267030545,2.41519598756665,"RIMKLA"
3.3795775,6.75359925,45.3614291351229,0.000151931421712328,0.0416148267030545,2.37516034777473,"RHOBTB2"
-1.929962,5.262375,-44.0977393066075,0.00016246246360129,0.0416148267030545,2.31708399219158,"IKBKE"
-4.584825,2.863539,-43.0032013458477,0.000172442148883096,0.0420613410137141,2.26435553064972,"MBP"
-2.7339525,1.53332625,-40.8126725740328,0.000195206663942486,0.0425493729129207,2.15151963080609,"CT45A5"
-1.882351,1.015168,-40.4079532420728,0.000199875288128125,0.0425493729129207,2.12953539471799,"SOWAHB"
2.7881645,2.12038975,40.2619242650963,0.000201598771465799,0.0425493729129207,2.12151185789867,"HOGA1"
-4.9297,2.618414,-39.3843864903324,0.00021241421403335,0.0425493729129207,2.07224998380459,"GRAMD3"
-1.174418,2.596224,-38.7553586772734,0.000220680867170001,0.0425493729129207,2.03580215570809,"RIN2"
-1.995843,11.005216,-38.5451042302948,0.000223545992512296,0.0426002473744359,2.02340112822768,"SOS2"
